ID,location,profile_HWD,household_size,heater_type,has_solar,control_type,tariff_type,new_system,old_heater,ID,net_present_cost,payback_period,LCOHW,capital_cost,annual_energy_cost,daily_supply_cost,oandm_cost,others_cost,rebates,disconnection_costs,solar_ratio_real,annual_fit_opp_cost,emissions_total,annual_energy_consumption
125,800,1,4,premium_heat_pump,TRUE,CL3,CL,TRUE,none,125,7301.629664,,0.486488391,5467,93.68698312,0,200,,0,0,0.430251826,25.12699802,0.456551365,625.9450934
126,800,1,4,premium_heat_pump,TRUE,timer_SS,flat,TRUE,none,126,6872.166136,,0.457872777,5467,24.93858636,0,200,,0,0,0.846404678,44.63294741,0.421670283,577.5728025
127,800,1,5,resistive,FALSE,GS,flat,TRUE,none,127,8160.727753,,0.434988624,1880,805.417072,0,200,,0,0,0,0,2.093447529,2865.06
128,800,1,5,resistive,FALSE,GS,tou,TRUE,none,128,8757.31746,,0.466788452,1880,900.9189788,0,200,,0,0,0,0,2.093447529,2865.06
129,800,1,5,resistive,FALSE,CL1,CL,TRUE,none,129,7557.869586,,0.402853008,1880,708.911712,0,200,,0,0,0,0,1.967420472,2698.56
130,800,1,5,resistive,FALSE,CL2,CL,TRUE,none,130,7794.477249,,0.415457686,1880,746.787798,0,200,,0,0,0,0,2.078342488,2842.74
131,800,1,5,resistive,FALSE,timer_OP,tou,TRUE,none,131,7763.903915,,0.41384404,1880,741.8936275,0,200,,0,0,0,0,2.010161267,2752.38
132,800,1,5,resistive,FALSE,CL3,CL,TRUE,none,132,7741.897769,,0.412661785,1880,738.37089,0,200,,0,0,0,0,2.051068837,2810.7
133,800,1,5,resistive,TRUE,GS,flat,TRUE,none,133,7679.971102,,0.409363008,1880,728.4576873,0,200,,0,0,0.095552214,24.99454614,2.093447529,2865.06
134,800,1,5,resistive,TRUE,GS,tou,TRUE,none,134,8202.183298,,0.437198316,1880,812.0532637,0,200,,0,0,0.095552214,24.99454614,2.093447529,2865.06
135,800,1,5,resistive,TRUE,CL1,CL,TRUE,none,135,7557.869586,,0.402853008,1880,708.911712,0,200,,0,0,0,0,1.967420472,2698.56
136,800,1,5,resistive,TRUE,CL2,CL,TRUE,none,136,7517.069922,,0.400671447,1880,702.3805136,0,200,,0,0,0.059464395,15.77160119,2.078342488,2842.74
137,800,1,5,resistive,TRUE,CL3,CL,TRUE,none,137,6497.387405,,0.346326387,1880,539.1500329,0,200,,0,0,0.269811364,70.75487617,2.051068837,2810.7
138,800,1,5,resistive,TRUE,timer_SS,flat,TRUE,none,138,5694.640762,,0.303533359,1880,410.6465837,0,200,,0,0,0.463020239,114.9989672,1.986995393,2720.34
139,800,1,5,resistive,TRUE,diverter,tou,TRUE,none,139,6261.392965,,0.333744626,2980,325.2844315,0,200,,0,0,0.546362837,140.4975153,2.054291132,2816.545131
140,800,1,5,resistive,TRUE,diverter,CL,TRUE,none,140,6326.139529,,0.337195745,2980,335.6490427,0,200,,0,0,0.546362837,143.5752265,2.054291132,2816.545131
141,800,1,5,solar_thermal,FALSE,GS,flat,TRUE,none,141,9092.151746,,0.498934536,7160,109.2982896,0,200,,0,0,0.476021061,0,0.285419062,388.8
142,800,1,5,solar_thermal,FALSE,GS,tou,TRUE,none,142,9214.764353,,0.505662939,7160,128.92608,0,200,,0,0,0.476021061,0,0.285419062,388.8
143,800,1,5,gas_instant,FALSE,GS,gas,TRUE,none,143,7267.76043,,0.228648677,1322,751.7956005,0,200,,0,0,0,0,0.669528774,4736.486292
144,800,1,5,gas_storage,FALSE,GS,gas,TRUE,none,144,8518.007397,,0.454023682,1885,861.809895,0,200,,0,0,0,0,0.767508255,3643.708333
145,800,1,5,standard_heat_pump,FALSE,GS,flat,TRUE,none,145,5753.092125,,0.30664078,2299,352.9300628,0,200,,0,0,0,0,0.917387355,1255.456137
146,800,1,5,standard_heat_pump,FALSE,GS,tou,TRUE,none,146,5875.426601,,0.313161228,2299,372.5133302,0,200,,0,0,0,0,0.917387355,1255.456137
